OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
1,,,,,,,2018 East Metro Pulse Survey,,,,,,,,,,,,,,,,,,,
2,,,,,,,Community  connectedness,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Closed End,Community  connectedness,Q1_18,Title,1,Title,"How long have you lived in the East Metro (Dakota, Ramsey and Washington Counties)?",,,,,,,,,,,,,,,,,,,
5,Closed End,Community  connectedness,Q1_18,Title,2,Labels,,Less than 1 year,1 to 5 years,6 to 10 years,11 to 15 years,16 to 25 years,26 or more years,Number of respondents (unweighted),,,,,,,,,,,,
6,Closed End,Community  connectedness,Q1_18,Region,1,Header,Results by region:,,--,--,--,--,--,,,,,,,,,,,,,
7,Closed End,Community  connectedness,Q1_18,Region,2,Data,   East Metro overall,4%,18%,11%,10%,16%,41%,1945,,,,,,,,,,,,
8,Closed End,Community  connectedness,Q1_18,Region,3,Data,   Dakota County,3%,15%,11%,13%,18%,41%,443,,,,,,,,,,,,
9,Closed End,Community  connectedness,Q1_18,Region,4,Data,   Ramsey County (overall),5%,19%,13%,10%,15%,38%,977,,,,,,,,,,,,
10,Closed End,Community  connectedness,Q1_18,Region,5,Data,      City of Saint Paul,5%,22%,14%,13%,13%,32%,470,,,,,,,,,,,,
11,Closed End,Community  connectedness,Q1_18,Region,6,Data,      Suburban Ramsey County,5%,15%,12%,6%,16%,45%,507,,,,,,,,,,,,
12,Closed End,Community  connectedness,Q1_18,Region,7,Data,   Washington County,4%,20%,9%,6%,16%,45%,525,,,,,,,,,,,,
13,Closed End,Community  connectedness,Q1_18,Gender,1,Header,Results by gender:,--,--,--,--,--,--,,,,,,,,,,,,,
14,Closed End,Community  connectedness,Q1_18,Gender,2,Data,   Females,3%,18%,9%,11%,18%,41%,1259,,,,,,,,,,,,
15,Closed End,Community  connectedness,Q1_18,Gender,3,Data,   Males,5%,18%,13%,9%,14%,41%,635,,,,,,,,,,,,
16,Closed End,Community  connectedness,Q1_18,Age,1,Header,Results by age:,--,--,--,--,--,--,,,,,,,,,,,,,
17,Closed End,Community  connectedness,Q1_18,Age,2,Data,   18-34,9%,36%,17%,4%,7%,27%,285,,,,,,,,,,,,
18,Closed End,Community  connectedness,Q1_18,Age,3,Data,   35-44,2%,21%,15%,25%,16%,20%,272,,,,,,,,,,,,
19,Closed End,Community  connectedness,Q1_18,Age,4,Data,   45-54,3%,7%,12%,11%,32%,36%,300,,,,,,,,,,,,
20,Closed End,Community  connectedness,Q1_18,Age,5,Data,   55-64,2%,5%,5%,10%,21%,56%,425,,,,,,,,,,,,
21,Closed End,Community  connectedness,Q1_18,Age,6,Data,   65+,1%,8%,4%,4%,10%,74%,584,,,,,,,,,,,,
22,Closed End,Community  connectedness,Q1_18,Education,1,Header,Results by education level:,--,--,--,--,--,--,,,,,,,,,,,,,
23,Closed End,Community  connectedness,Q1_18,Education,2,Data,   "Less than HS diploma, no GED",--,16%,15%,32%,13%,23%,21,,,,,,,,,,,,
24,Closed End,Community  connectedness,Q1_18,Education,3,Data,   HS diploma or GED,2%,14%,13%,8%,9%,54%,202,,,,,,,,,,,,
25,Closed End,Community  connectedness,Q1_18,Education,4,Data,   "Some college, trade school, or Associate degree",3%,17%,8%,9%,20%,42%,563,,,,,,,,,,,,
