OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,Question_2021,Qnum2018,Topic2018,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
1,Closed End,COVID-19,Q1_21,Title,1,Title,Q1_21,,,"As a result of the COVID-19 pandemic, has your life...",,,,,,,,,,,,,,,,,,,
2,Closed End,COVID-19,Q1_21,Column labels,1,Labels,Q1_21,,,,Changed significantly in a positive way,Changed somewhat in a positive way,Stayed about the same,Changed somewhat in a negative way,Changed significantly in a negative way,Number of respondents (unweighted),,,,,,,,,,,,,
3,Closed End,COVID-19,Q1_21,Region,1,Header,Q1_21,,,Results by region:,,,,,,,,,,,,,,,,,,,
4,Closed End,COVID-19,Q1_21,Region,2,Data,Q1_21,,,   East Metro overall,4%,23%,35%,32%,6%,3006,,,,,,,,,,,,,
5,Closed End,COVID-19,Q1_21,Region,3,Data,Q1_21,,,   Dakota County,4%,24%,37%,30%,5%,414,,,,,,,,,,,,,
6,Closed End,COVID-19,Q1_21,Region,4,Data,Q1_21,,,   Ramsey County (overall),5%,23%,31%,34%,7%,2197,,,,,,,,,,,,,
7,Closed End,COVID-19,Q1_21,Region,5,Data,Q1_21,,,      City of Saint Paul,5%,23%,27%,36%,9%,1780,,,,,,,,,,,,,
8,Closed End,COVID-19,Q1_21,Region,6,Data,Q1_21,,,      Suburban Ramsey County,5%,23%,37%,31%,5%,417,,,,,,,,,,,,,
9,Closed End,COVID-19,Q1_21,Region,7,Data,Q1_21,,,   Washington County,5%,21%,38%,29%,8%,395,,,,,,,,,,,,,
10,Closed End,COVID-19,Q1_21,Gender,1,Header,Q1_21,,,Results by gender:,,,,,,,,,,,,,,,,,,,
11,Closed End,COVID-19,Q1_21,Gender,2,Data,Q1_21,,,   Females,4%,24%,32%,33%,6%,1864,,,,,,,,,,,,,
12,Closed End,COVID-19,Q1_21,Gender,3,Data,Q1_21,,,   Males,5%,20%,39%,30%,6%,991,,,,,,,,,,,,,
13,Closed End,COVID-19,Q1_21,Age,1,Header,Q1_21,,,Results by age:,,,,,,,,,,,,,,,,,,,
14,Closed End,COVID-19,Q1_21,Age,2,Data,Q1_21,,,   18-34,5%,27%,33%,32%,4%,406,,,,,,,,,,,,,
15,Closed End,COVID-19,Q1_21,Age,3,Data,Q1_21,,,   35-44,7%,28%,31%,28%,6%,418,,,,,,,,,,,,,
16,Closed End,COVID-19,Q1_21,Age,4,Data,Q1_21,,,   45-54,2%,25%,33%,30%,9%,361,,,,,,,,,,,,,
