OrigRowNum,Table Type,Topic,Question,Table Section,Section Order,Row Type,Qnum2021,Topic2021,Qnum2018,Topic2018,,,,,,,,,,,,,,,,,,,,
1,Closed End,Community connectedness,Q1,Title,1,Title,Q1,Community connectedness,Q1,Community connections,1. What are the main reasons you choose to live here? (Please select up to two reasons.),,,,,,,,,,,,,,,,,,,
2,Closed End,Community connectedness,Q1,Column labels,1,Labels,Q1,Community connectedness,Q1,Community connections,,Job opportunities,Housing options / prices,Schools,Neighborhood or community,"To be close to family, friends, faith community, etc.",Some other reason,Number of respondents (unweighted),,,,,,,,,,,,
3,Closed End,Community connectedness,Q1,Region,1,Header,Q1,Community connectedness,Q1,Community connections,Results by region:,,,,,,,,,,,,,,,,,,,
4,Closed End,Community connectedness,Q1,Region,2,Data,Q1,Community connectedness,Q1,Community connections,East Metro overall,19%,41%,24%,37%,41%,9%,3743,,,,,,,,,,,,
5,Closed End,Community connectedness,Q1,Region,3,Data,Q1,Community connectedness,Q1,Community connections,Dakota County,15%,39%,31%,37%,43%,9%,930,,,,,,,,,,,,
6,Closed End,Community connectedness,Q1,Region,4,Data,Q1,Community connectedness,Q1,Community connections,Ramsey County (overall),22%,46%,19%,36%,40%,9%,2032,,,,,,,,,,,,
7,Closed End,Community connectedness,Q1,Region,5,Data,Q1,Community connectedness,Q1,Community connections,City of Saint Paul,23%,50%,11%,36%,42%,10%,1126,,,,,,,,,,,,
8,Closed End,Community connectedness,Q1,Region,6,Data,Q1,Community connectedness,Q1,Community connections,Suburban Ramsey County,20%,42%,30%,35%,38%,9%,906,,,,,,,,,,,,
9,Closed End,Community connectedness,Q1,Region,7,Data,Q1,Community connectedness,Q1,Community connections,Washington County,18%,36%,25%,42%,39%,9%,781,,,,,,,,,,,,
10,Closed End,Community connectedness,Q1,Gender,1,Header,Q1,Community connectedness,Q1,Community connections,Results by gender identity:,,,,,,,,,,,,,,,,,,,
11,Closed End,Community connectedness,Q1,Gender,2,Data,Q1,Community connectedness,Q1,Community connections,Females,18%,40%,25%,38%,42%,8%,2224,,,,,,,,,,,,
12,Closed End,Community connectedness,Q1,Gender,3,Data,Q1,Community connectedness,Q1,Community connections,Males,19%,44%,24%,37%,40%,9%,1316,,,,,,,,,,,,
13,Closed End,Community connectedness,Q1,Age,1,Header,Q1,Community connectedness,Q1,Community connections,Results by age:,,,,,,,,,,,,,,,,,,,
14,Closed End,Community connectedness,Q1,Age,2,Data,Q1,Community connectedness,Q1,Community connections,18-34,24%,50%,21%,35%,43%,7%,460,,,,,,,,,,,,
15,Closed End,Community connectedness,Q1,Age,3,Data,Q1,Community connectedness,Q1,Community connections,35-44,19%,46%,34%,38%,39%,6%,615,,,,,,,,,,,,
16,Closed End,Community connectedness,Q1,Age,4,Data,Q1,Community connectedness,Q1,Community connections,45-54,17%,31%,38%,41%,38%,7%,439,,,,,,,,,,,,
17,Closed End,Community connectedness,Q1,Age,5,Data,Q1,Community connectedness,Q1,Community connections,55-64,17%,39%,20%,38%,38%,11%,559,,,,,,,,,,,,
18,Closed End,Community connectedness,Q1,Age,6,Data,Q1,Community connectedness,Q1,Community connections,65+,12%,38%,18%,40%,45%,13%,1154,,,,,,,,,,,,
19,Closed End,Community connectedness,Q1,Education,1,Header,Q1,Community connectedness,Q1,Community connections,Results by education level:,,,,,,,,,,,,,,,,,,,
20,Closed End,Community connectedness,Q1,Education,2,Data,Q1,Community connectedness,Q1,Community connections,"Less than HS diploma, no GED",27%,39%,5%,31%,49%,4%,60,,,,,,,,,,,,
21,Closed End,Community connectedness,Q1,Education,3,Data,Q1,Community connectedness,Q1,Community connections,HS diploma or GED,14%,43%,18%,36%,40%,8%,325,,,,,,,,,,,,
22,Closed End,Community connectedness,Q1,Education,4,Data,Q1,Community connectedness,Q1,Community connections,"Some college, trade school, or Associate degree",14%,39%,18%,37%,47%,11%,970,,,,,,,,,,,,
23,Closed End,Community connectedness,Q1,Education,5,Data,Q1,Community connectedness,Q1,Community connections,Bachelor's degree or higher,22%,44%,32%,39%,37%,8%,2215,,,,,,,,,,,,
24,Closed End,Community connectedness,Q1,Household income,1,Header,Q1,Community connectedness,Q1,Community connections,Results by household income:,,,,,,,,,,,,,,,,,,,
25,Closed End,Community connectedness,Q1,Household income,2,Data,Q1,Community connectedness,Q1,Community connections,"Less than $20,000",19%,59%,17%,28%,36%,9%,271,,,,,,,,,,,,
26,Closed End,Community connectedness,Q1,Household income,3,Data,Q1,Community connectedness,Q1,Community connections,"$20,000 to $39,999",15%,41%,15%,28%,47%,9%,375,,,,,,,,,,,,
27,Closed End,Community connectedness,Q1,Household income,4,Data,Q1,Community connectedness,Q1,Community connections,"$40,000 to $59,999",27%,45%,12%,30%,41%,10%,435,,,,,,,,,,,,
28,Closed End,Community connectedness,Q1,Household income,5,Data,Q1,Community connectedness,Q1,Community connections,"$60,000 to $79,999",20%,41%,20%,36%,44%,7%,440,,,,,,,,,,,,
29,Closed End,Community connectedness,Q1,Household income,6,Data,Q1,Community connectedness,Q1,Community connections,"$80,000 to $99,999",15%,42%,21%,44%,43%,10%,328,,,,,,,,,,,,
30,Closed End,Community connectedness,Q1,Household income,7,Data,Q1,Community connectedness,Q1,Community connections,"$100,000 to $149,999",18%,43%,27%,46%,40%,6%,575,,,,,,,,,,,,
31,Closed End,Community connectedness,Q1,Household income,8,Data,Q1,Community connectedness,Q1,Community connections,"$150,000 or more",19%,38%,37%,40%,37%,9%,641,,,,,,,,,,,,
32,Closed End,Community connectedness,Q1,Housing status,1,Header,Q1,Community connectedness,Q1,Community connections,Results by housing status:,,,,,,,,,,,,,,,,,,,
33,Closed End,Community connectedness,Q1,Housing status,2,Data,Q1,Community connectedness,Q1,Community connections,Owner,17%,40%,27%,40%,41%,9%,2809,,,,,,,,,,,,
